"trans_id","prop_address","prop_city","prop_zip","prop_latitude","prop_longitude","prop_census","parcel_id","sale_date","sale_price","lot_sqft","property_land_use","year_built","total_bedrooms","total_baths","airconditioning_type","prop_fireplace","prop_sqft","year","building_age"
565345977,"2376 Broadway","Manhattan",10024,40.788336,-73.975442,NA,184161416,2022-03-30,4800000,NA,106,1920,NA,NA,NA,NA,2238,2022,102
565345978,"101 Warren St","Manhattan",10007,40.715628,-74.012114,360610021002003,90492845,2022-03-25,2695000,NA,106,2006,NA,NA,NA,NA,1363,2022,16
565345980,"69 5th Ave","Manhattan",10003,40.736155,-73.993111,360610052002006,90526789,2022-03-21,403700,11871.68,107,1961,NA,NA,NA,NA,158565,2022,61
565345983,"240 E 76th St","Manhattan",10021,40.771202,-73.957028,360610134006000,90590795,2022-04-04,750000,NA,107,1957,NA,NA,NA,NA,238741,2022,65
565345984,"120 Central Park S","Manhattan",10019,40.765837,-73.977377,360610137001000,157683982,2022-03-31,873000,NA,107,1941,NA,1,NA,NA,NA,2022,81
565345985,"530 PARK AVENUE # 9C","Manhattan",10065,NA,NA,NA,90583985,2022-03-28,3775000,NA,106,1941,NA,NA,NA,NA,1530,2022,81
565345986,"245 E 93rd St","Manhattan",10128,40.782775,-73.948663,360610154009000,90602566,2022-03-29,1150000,NA,106,1985,NA,NA,NA,NA,967,2022,37
565345988,"165 E 72nd St","New York",10021,40.770004,-73.960803,360610128005001,157751759,2022-03-25,1755000,NA,107,1960,2,2,NA,NA,NA,2022,62
565345989,"117 W 82nd St","Manhattan",10024,40.784521,-73.974933,360610169004001,90566600,2022-03-31,600000,NA,106,1900,NA,NA,NA,NA,509,2022,122
565345990,"127 EAST 79TH STREET # PH19W","Manhattan",10075,NA,NA,NA,90597466,2022-04-01,18000000,10301.8,106,2012,NA,NA,NA,NA,5429,2022,10
565345991,"524 E 72nd St","Manhattan",10021,40.766042,-73.952338,360610124007001,90595166,2022-04-01,1440000,25500,106,1989,NA,NA,NA,NA,1048,2022,33
565345993,"64 N Moore St","Manhattan",10013,40.719837,-74.009594,360610039004003,90494777,2022-03-30,2650000,NA,106,1910,NA,NA,NA,NA,1726,2022,112
565346002,"300 E 54th St","Manhattan",10022,40.756956,-73.966399,360610098005000,160706594,2022-03-30,720000,NA,107,1977,1,1,NA,NA,NA,2022,45
565346003,"205 W 76th St","Manhattan",10023,40.78168,-73.97994,360610163005001,90561974,2022-03-30,2825000,NA,106,2007,NA,NA,NA,NA,1340,2022,15
565346004,"29 W 138th St","Manhattan",10037,40.815172,-73.936835,360610212001000,157676675,2022-03-31,645000,NA,107,2010,1,1,NA,NA,1236,2022,12
565346005,"231 W 148th St","Manhattan",10039,40.824766,-73.940146,360610234001002,195787629,2022-03-23,631000,NA,107,1920,NA,NA,NA,NA,126267,2022,102
565346006,"610 W 110th St","Manhattan",10025,40.804236,-73.967588,360610195001000,90621704,2022-03-31,2000000,10000,106,1922,NA,NA,NA,NA,1477,2022,100
565346010,"176 EAST 77 STREET # 3E","Manhattan",10075,NA,NA,NA,157734142,2022-04-05,1521000,NA,107,1957,2,2,NA,NA,NA,2022,65
565346013,"230 W 105th St","Manhattan",10025,40.800215,-73.96754,360610191005001,157728779,2022-03-14,1545000,NA,107,1920,3,2,NA,NA,NA,2022,102
565346015,"140 W 22nd St","Manhattan",10011,40.742741,-73.995064,360610087001000,90523618,2022-03-16,1810000,NA,106,1911,NA,NA,NA,NA,1063,2022,111
565346016,"105 3rd Ave","Manhattan",10003,40.732823,-73.98714,360610040001000,90505246,2022-03-31,699000,10512,107,1900,NA,NA,NA,NA,113930,2022,122
565346017,"211 W 18th St","Manhattan",10011,40.741521,-73.998403,360610087003000,90521425,2022-04-01,2225000,NA,106,2001,NA,NA,NA,NA,1312,2022,21
565346019,"248 Central Park W","Manhattan",10024,40.784582,-73.970245,360610169002000,90565357,2022-03-11,26000000,2000,101,1901,NA,NA,NA,NA,9115,2022,121
565346027,"250 E 40th St","Manhattan",10016,40.748519,-73.973396,360610088002001,90536249,2021-03-12,10,NA,106,1988,NA,NA,NA,NA,848,2021,33
565346031,"420 E 55th St","Manhattan",10022,40.756276,-73.96244,360610106015000,158244579,2022-03-29,400000,NA,107,1956,NA,NA,NA,NA,NA,2022,66
565346032,"222 W 14th St","Manhattan",10011,40.738906,-74.001144,360610077001000,90514827,2022-03-30,1265000,NA,106,1986,NA,NA,NA,NA,917,2022,36
