"","trans_id","prop_address","prop_city","prop_zip","prop_latitude","prop_longitude","prop_census","parcel_id","year","month","day","sale_price","trans_id.y","year_built","total_bedrooms","total_baths","age","prop_sqft"
"1552",404514263,"415 GRAND ST","NEW YORK","10002",40.715743,-73.986512,"360610014012002",157639618,2009,"10","09",446250,"C2636509-0000-0000-8CDD-000000000000",1960,1,1,49,700
"1553",404514273,"380 RIVERSIDE DR","NEW YORK","10025",40.804726,-73.967781,"360610199002001",157639967,2009,"09","29",375000,"1F656509-0000-0000-8CDD-000000000000",1907,1,1,102,700
"1554",404514275,"70 E 10TH ST","NEW YORK","10003",40.731262,-73.990698,"360610057001001",157639620,2009,"10","09",1425000,"C4636509-0000-0000-8CDD-000000000000",1960,2,2,49,1500
"1555",404514276,"10 W 15TH ST","NEW YORK","10011",40.73675,-73.993631,"360610054003000",157639565,2009,"10","08",570000,"8D636509-0000-0000-8CDD-000000000000",1964,1,1,45,750
"1556",404514279,"49 W 12TH ST","NEW YORK","10011",40.735459,-73.996075,"360610063001001",157639802,2009,"10","07",6e+05,"7A646509-0000-0000-8CDD-000000000000",1952,1,1,57,800
"1557",404514280,"340 E 93RD ST","NEW YORK","10128",40.78131,-73.946485,"360610154003000",157639778,2009,"09","29",375000,"62646509-0000-0000-8CDD-000000000000",1980,1,1,29,670
"1558",404514296,"105 W 73RD ST","NEW YORK","10023",40.778335,-73.97849,"360610157005000",157639596,2009,"10","09",623155,"AC636509-0000-0000-8CDD-000000000000",1920,1,1,89,750
"1559",404514307,"440 E 79TH ST","NEW YORK","10075",40.771824,-73.951831,"360610132001000",157639577,2009,"08","04",584300,"99636509-0000-0000-8CDD-000000000000",1956,1,1,53,800
"1560",404514320,"32 GRAMERCY PARK S","NEW YORK","10003",40.7374,-73.9859,"360610050001",157639871,2009,"10","07",662500,"BF646509-0000-0000-8CDD-000000000000",1956,1,1,53,850
"1561",404514337,"95 PARK TER E","NEW YORK","10034",40.871261,-73.915726,"360610307002000",157639709,2009,"10","06",294000,"1D646509-0000-0000-8CDD-000000000000",1925,1,1,84,800
"1562",404514347,"370 E 76TH ST","NEW YORK","10021",40.77059,-73.954957,"360610134007000",157639830,2009,"09","22",1150000,"96646509-0000-0000-8CDD-000000000000",1966,3,3,43,1700
"1563",404514355,"400 E 56TH ST","NEW YORK","10022",40.757451,-73.963337,"360610106014000",157613951,2009,"10","13",1205000,"7FFF6409-0000-0000-8CDD-000000000000",1968,2,2,41,1395
"1564",404514384,"1270 5TH AVE","NEW YORK","10029",40.795808,-73.949787,"360610174013002",157639919,2009,"10","09",455000,"EF646509-0000-0000-8CDD-000000000000",1959,2,1,50,850
"1565",404514388,"305 E 40TH ST","NEW YORK","10016",40.74858,-73.972864,"360610088003000",157639571,2009,"10","05",4e+05,"93636509-0000-0000-8CDD-000000000000",1963,1,1,46,575
"1566",404514390,"322 E 14TH ST","NEW YORK","10003",40.73197,-73.984407,"360610040006000",157639999,2009,"10","14",365000,"3F656509-0000-0000-8CDD-000000000000",1920,1,1,89,475
"1567",404514396,"205 W 57TH ST","NEW YORK","10019",40.76578,-73.980274,"360610137004003",157639716,2009,"10","12",305000,"24646509-0000-0000-8CDD-000000000000",1900,1,1,109,550
